"NO","year","Ref.","filler type","function","filler size/nm","BET","cage size/A","aperture size/A","loading amout","matrix type","thickness/μm","T/℃","P/bar","Control N2 permeability","Control CO2 permeability","Control CO2/N2 selectivity","Relative N2 permeability","Relative CO2 permeability","Relative CO2/N2 selectivity"
"89","","","MIL-101(Cr)","NH2","","2070","","15.4","15.00%","PIM-1","40","25","3","146.67 ","2420.00 ","16.50 ","0.76 ","1.34 ","1.76 "
"158","2018","18","MIL 69","","275","450","","2.7","25.00%","6FDA-DAM","35","25","2","28.80 ","720.00 ","25.00 ","0.89 ","0.99 ","1.11 "
"159","","","MIL 53 (Al)","NH2","","500","","6","25.00%","6FDA-DAM","35","25","2","28.80 ","720.00 ","25.00 ","1.39 ","1.42 ","1.02 "
"160","","","MIL-96","","670","150","","3.6","25.00%","6FDA-DAM","35","25","2","28.80 ","720.00 ","25.00 ","1.26 ","1.35 ","1.07 "
"161","","","ZIF-94","","545","300","","2.6","25.00%","6FDA-DAM","35","25","2","28.80 ","720.00 ","25.00 ","1.47 ","1.44 ","0.98 "
"163","","","MIL 69","","275","450","","2.7","25.00%","Pebax1657","35","25","2","0.75 ","42.50 ","57.00 ","0.90 ","1.02 ","1.13 "
"164","","","MIL 53 (Al)","NH2","","500","","6","25.00%","Pebax1657","35","25","2","0.75 ","42.50 ","57.00 ","0.75 ","0.78 ","1.04 "
"165","","","MIL-96","","670","150","","3.6","25.00%","Pebax1657","35","25","2","0.75 ","42.50 ","57.00 ","1.15 ","1.26 ","1.10 "
"166","","","ZIF-94","","545","300","","2.6","25.00%","Pebax1657","35","25","2","0.75 ","42.50 ","57.00 ","1.24 ","1.32 ","1.07 "
"179","2018","21","UiO66","","1000","1125","","6","27.30%","PU","","30.00 ","4.00 ","0.98 ","38.40 ","39.18 ","2.24 ","1.96 ","0.87 "
"180","","","MIL-101 Cr","","500","3752","","12","28.00%","PU","","30.00 ","4.00 ","0.98 ","38.40 ","39.18 ","2.00 ","2.16 ","1.08 "
"192","2016","23","MIL-125(Ti)","","1500","1040","10.7","5.50 ","5.00%","Matrimid®9725","","35","9","0.18 ","4.00 ","22.00 ","0.89 ","1.25 ","1.41 "
"193","","","MIL-125(Ti)","","1500","1040","10.7","5.50 ","10.00%","Matrimid®9725","","35","9","0.18 ","4.00 ","22.00 ","1.12 ","1.62 ","1.45 "
"194","","","MIL-125(Ti)","","1500","1040","10.7","5.50 ","15.00%","Matrimid®9725","","35","9","0.18 ","4.00 ","22.00 ","1.64 ","2.50 ","1.52 "
"195","","","MIL-125(Ti)","","1500","1040","10.7","5.50 ","20.00%","Matrimid®9725","","35","9","0.18 ","4.00 ","22.00 ","2.00 ","3.00 ","1.50 "
"196","","","MIL-125(Ti)","","1500","1040","10.7","5.50 ","30.00%","Matrimid®9725","","35","9","0.18 ","4.00 ","22.00 ","2.32 ","3.38 ","1.45 "
"197","","","MIL-125(Ti)","NH2","100","930","10.7","5.50 ","5.00%","Matrimid®9725","","35","9","0.18 ","4.00 ","22.00 ","0.97 ","1.50 ","1.55 "
"198","","","MIL-125(Ti)","NH2","100","930","10.7","5.50 ","10.00%","Matrimid®9725","","35","9","0.18 ","4.00 ","22.00 ","1.18 ","1.88 ","1.59 "
"199","","","MIL-125(Ti)","NH2","100","930","10.7","5.50 ","15.00%","Matrimid®9725","","35","9","0.18 ","4.00 ","22.00 ","1.16 ","2.00 ","1.73 "
"200","","","MIL-125(Ti)","NH2","100","930","10.7","5.50 ","20.00%","Matrimid®9725","","35","9","0.18 ","4.00 ","22.00 ","2.19 ","3.65 ","1.67 "
"201","","","MIL-125(Ti)","NH2","100","930","10.7","5.50 ","30.00%","Matrimid®9725","","35","9","0.18 ","4.00 ","22.00 ","4.22 ","6.62 ","1.57 "
"203","2015","24","MIL-101(Cr)","","500","3175","19.9","7.5","10.00%","SPEEK","65","25","1","38.62 ","570.00 ","14.76 ","1.00 ","1.12 ","1.12 "
"204","","","MIL-101(Cr)","","500","3175","19.9","7.5","20.00%","SPEEK","65","25","1","38.62 ","570.00 ","14.76 ","1.41 ","1.81 ","1.28 "
"205","","","MIL-101(Cr)","","500","3175","19.9","7.5","30.00%","SPEEK","65","25","1","38.62 ","570.00 ","14.76 ","1.55 ","2.11 ","1.36 "
"206","","","MIL-101(Cr)","","500","3175","19.9","7.5","40.00%","SPEEK","65","25","1","38.62 ","570.00 ","14.76 ","1.84 ","2.54 ","1.38 "
"207","","","MIL-101(Cr)","","500","1372","19.9","6.61","10.00%","SPEEK","65","25","1","38.62 ","570.00 ","14.76 ","1.44 ","1.75 ","1.22 "
"208","","","MIL-101(Cr)","","500","1372","19.9","6.61","20.00%","SPEEK","65","25","1","38.62 ","570.00 ","14.76 ","2.17 ","2.74 ","1.26 "
"209","","","MIL-101(Cr)","","500","1372","19.9","6.61","30.00%","SPEEK","65","25","1","38.62 ","570.00 ","14.76 ","2.59 ","3.44 ","1.33 "
"210","","","MIL-101(Cr)","","500","1372","19.9","6.61","40.00%","SPEEK","65","25","1","38.62 ","570.00 ","14.76 ","3.17 ","4.37 ","1.38 "
"225","2016","26","MIL 53 (Al)","NH2","200","984","8","8","2.00%","Polyetherimide Ultem®1000","1","25","5","3.06 ","98.00 ","32.00 ","1.13 ","1.22 ","1.09 "
"226","","","MIL 53 (Al)","NH2","200","984","8","8","6.00%","Polyetherimide Ultem®1000","1","25","5","3.06 ","98.00 ","32.00 ","1.66 ","1.63 ","0.98 "
"227","","","MIL 53 (Al)","NH2","200","984","8","8","10.00%","Polyetherimide Ultem®1000","1","25","5","3.06 ","98.00 ","32.00 ","2.90 ","2.24 ","0.78 "
"228","","","MIL 53 (Al)","NH2","400","125","8","8","2.00%","Polyetherimide Ultem®1000","1","25","5","3.06 ","98.00 ","32.00 ","1.04 ","1.20 ","1.16 "
"229","","","MIL 53 (Al)","NH2","400","125","8","8","6.00%","Polyetherimide Ultem®1000","1","25","5","3.06 ","98.00 ","32.00 ","1.28 ","1.68 ","1.31 "
"230","","","MIL 53 (Al)","NH2","400","125","8","8","10.00%","Polyetherimide Ultem®1000","1","25","5","3.06 ","98.00 ","32.00 ","1.59 ","2.04 ","1.28 "
"231","","","MIL 53 (Al)","NH2","400","125","8","8","15.00%","Polyetherimide Ultem®1000","1","25","5","3.06 ","98.00 ","32.00 ","2.68 ","2.81 ","1.05 "
"37","2017","4","UiO–66","","150","1150","11","6","5.00%","PIM-1-TT","1","25","4","187.50 ","3000.00 ","16.00 ","1.58 ","1.60 ","1.01 "
"38","","","UiO–66","","150","1150","11","6","10.00%","PIM-1-TT","1","25","4","187.50 ","3000.00 ","16.00 ","1.76 ","1.83 ","1.04 "
"39","","","UiO–66","","150","1150","11","6","20.00%","PIM-1-TT","1","25","4","187.50 ","3000.00 ","16.00 ","3.11 ","2.67 ","0.86 "
"40","","","UiO-66","NH2","30","950","11","6","5.00%","PIM-1-TT","1","25","4","187.50 ","3000.00 ","16.00 ","0.57 ","0.97 ","1.71 "
"41","","","UiO-66","NH2","30","950","11","6","10.00%","PIM-1-TT","1","25","4","187.50 ","3000.00 ","16.00 ","0.54 ","0.95 ","1.77 "
"42","","","UiO-66","NH2","30","950","11","6","20.00%","PIM-1-TT","1","25","4","187.50 ","3000.00 ","16.00 ","0.47 ","0.77 ","1.62 "
"43","","","UiO-66","NH2","30","950","11","6","30.00%","PIM-1-TT","1","25","4","187.50 ","3000.00 ","16.00 ","0.49 ","0.73 ","1.50 "
"44","","","UiO-66","NH2","30","950","11","6","40.00%","PIM-1-TT","1","25","4","187.50 ","3000.00 ","16.00 ","0.47 ","0.67 ","1.41 "
"52","2017","6","UiO-66","","200","1360","11","6","9.10%","PIM-1-TT","","25.0 ","1.0 ","120.00 ","4800.00 ","40.00 ","0.92 ","0.90 ","0.98 "
"53","","","UiO-66","","200","1360","11","6","16.60%","PIM-1-TT","","25.0 ","1.0 ","120.00 ","4800.00 ","40.00 ","2.00 ","1.21 ","0.60 "
"54","","","UiO-66","","200","1360","11","6","23.10%","PIM-1-TT","","25.0 ","1.0 ","120.00 ","4800.00 ","40.00 ","2.83 ","1.67 ","0.59 "
"55","","","UiO-66","","200","1360","11","6","28.60%","PIM-1-TT","","25.0 ","1.0 ","120.00 ","4800.00 ","40.00 ","2.67 ","0.98 ","0.37 "
"56","","","UiO-66","","200","1360","11","6","0.00%","PIM-1-TT","","25.0 ","1.0 ","120.00 ","4800.00 ","40.00 ","3.33 ","1.79 ","0.54 "
"58","","","UiO-66","","200","1360","11","6","16.60%","PIM-1-TT","","25.0 ","1.0 ","120.00 ","4800.00 ","40.00 ","3.83 ","1.98 ","0.52 "
"59","","","UiO-66","","200","1360","11","6","23.10%","PIM-1-TT","","25.0 ","1.0 ","120.00 ","4800.00 ","40.00 ","3.58 ","1.96 ","0.55 "
"60","","","UiO-66","","200","1360","11","6","28.60%","PIM-1-TT","","25.0 ","1.0 ","120.00 ","4800.00 ","40.00 ","4.58 ","2.00 ","0.44 "
